KanbanID,Part No.,Part ID,Create_date
4189333,XX1700B504,504,29/09/2021 9:52
4189334,XX1700B504,504,29/09/2021 9:52
4189335,XX1700B504,504,29/09/2021 9:52
4189336,XX1700B504,504,29/09/2021 9:52
4189337,XX1700B504,504,29/09/2021 9:52
4189338,XX1700B504,504,29/09/2021 9:52
4189339,XX1700B504,504,29/09/2021 9:52
4189340,XX1700B504,504,29/09/2021 9:52
4189341,XX1700B504,504,29/09/2021 9:52
4189342,XX1700B504,504,29/09/2021 9:52
4189343,XX1700B504,504,29/09/2021 9:52
4189344,XX1700B504,504,29/09/2021 9:52
4189345,XX1700B504,504,29/09/2021 9:52
4189346,XX1700B504,504,29/09/2021 9:52
4189347,XX1700B504,504,29/09/2021 9:52
4189348,XX1700B504,504,29/09/2021 9:52
4189349,XX1700B504,504,29/09/2021 9:52
4189350,XX1700B504,504,29/09/2021 9:52
4189351,XX1700B504,504,29/09/2021 9:52
4189352,XX1700B504,504,29/09/2021 9:52
4189353,XX1700B504,504,29/09/2021 9:52
4189354,XX1700B504,504,29/09/2021 9:52
4189355,XX1700B504,504,29/09/2021 9:52
4189356,XX1700B504,504,29/09/2021 9:52
4189357,XX1700B504,504,29/09/2021 9:52
4189358,XX1700B504,504,29/09/2021 9:52
4189359,XX1700B504,504,29/09/2021 9:52
4189360,XX1700B504,504,29/09/2021 9:52
4189361,XX1700B504,504,29/09/2021 9:52
4189362,XX1700B504,504,29/09/2021 9:52
4189363,XX1700B504,504,29/09/2021 9:52
4189364,XX1700B504,504,29/09/2021 9:52
4189365,XX1700B504,504,29/09/2021 9:52
